id,byline,image_url,url,section,publisher,title,date
2770908,,,https://nos.nl/artikel/2366580-segers-op-cu-congres-het-gaat-niet-om-haags-gedoe-maar-om-idealen.html,Politiek,NOS nieuws,"Segers op CU-congres: het gaat niet om Haags gedoe, maar om idealen",2021-01-30T11:57:01
2770915,,,https://nos.nl/artikel/2366562-wekdienst-30-1-teststraat-hilversum-weer-open-online-partijcongres-christenunie.html,Binnenland | Buitenland,NOS nieuws,Wekdienst 30/1: Teststraat Hilversum weer open • Online partijcongres ChristenUnie,2021-01-30T07:31:48
2770916,,,https://nos.nl/artikel/2366561-trage-vaccinatie-een-ggd-datalek-problemen-stapelen-zich-op-voor-de-jonge.html,Binnenland | Politiek,NOS nieuws,"Trage vaccinatie, een GGD-datalek: problemen stapelen zich op voor De Jonge",2021-01-30T07:11:44
2770964,,,https://nos.nl/artikel/2366489-kabinet-stuurt-aan-op-openen-basisscholen-op-maandag-8-februari.html,Politiek,NOS nieuws,Kabinet stuurt aan op openen basisscholen op maandag 8 februari,2021-01-29T15:52:36
2770968,,,https://nos.nl/artikel/2366476-contract-astrazeneca-eu-openbaar-vooral-beloften-over-uiterste-best-doen.html,Buitenland,NOS nieuws,Contract AstraZeneca-EU openbaar: vooral beloften over 'uiterste best doen',2021-01-29T14:19:32
2770990,,,https://nos.nl/artikel/2366422-peilingwijzer-kiezer-rekent-rutte-niet-af-op-toeslagenaffaire-en-val-kabinet.html,Politiek,NOS nieuws,Peilingwijzer: kiezer rekent Rutte niet af op toeslagenaffaire en val kabinet ,2021-01-29T06:00:01
2771014,,,https://nos.nl/artikel/2366401-woorden-partijen-urk-katalysator-van-geweld.html,Regionaal nieuws,NOS nieuws,'Woorden partijen Urk katalysator van geweld',2021-01-28T22:07:21
2771022,,,https://nos.nl/artikel/2366388-onderzoekscommissie-geen-aanwijzingen-voor-antisemitisme-binnen-vakgroep-cliteur.html,Binnenland | Politiek,NOS nieuws,Onderzoekscommissie: geen aanwijzingen voor antisemitisme binnen vakgroep Cliteur,2021-01-28T19:47:10
2771023,,,https://nos.nl/artikel/2366387-kamer-voor-nieuwe-coronasteun-maar-vindt-het-onvoldoende.html,Politiek,NOS nieuws,"Kamer voor nieuwe coronasteun, maar vindt het onvoldoende ",2021-01-28T19:38:59
2771036,,,https://nos.nl/artikel/2366364-om-eist-in-hoger-beroep-10-jaar-tegen-bedreiger-geert-wilders.html,Binnenland | Politiek,NOS nieuws,OM eist in hoger beroep 10 jaar tegen bedreiger Geert Wilders,2021-01-28T17:14:03
2771039,,,https://nos.nl/artikel/2366355-verhuizing-tweede-kamer-echt-deze-zomer.html,Politiek,NOS nieuws,Verhuizing Tweede Kamer echt deze zomer,2021-01-28T15:28:57
2771097,,,https://nos.nl/artikel/2366248-steunpakketten-en-toeslagaffaire-kosten-miljarden-staatsschuld-loopt-op-tot-boven-norm.html,Politiek,NOS nieuws,"Steunpakketten en toeslagaffaire kosten miljarden, staatsschuld loopt op tot boven norm",2021-01-27T21:05:48
2771100,,,https://nos.nl/artikel/2366242-voorlopig-geen-prik-voor-50-000-thuiswonende-verpleeghuisbewoners.html,Binnenland,NOS nieuws,Voorlopig geen prik voor 50.000 'thuiswonende' verpleeghuisbewoners,2021-01-27T20:03:25
2771105,,,https://nos.nl/artikel/2366224-kamer-wil-meer-hulp-voor-vluchtelingen-in-griekenland.html,Politiek,NOS nieuws,Kamer wil meer hulp voor vluchtelingen in Griekenland,2021-01-27T18:13:53
